Izmjene i dopune Prostornog plana Požeško-slavonske županije	Nadležno tijelo je Požeško-slavonska županija.	http://www.pszupanija.hr/
Operativni program iz područja kohezije i konkurentnost 2014.-2020.	Nadležno tijelo je Ministarstvo regionalnoga razvoja i fondova Europske unije.	http://www.mrrfeu.hr/default.aspx?id=4191
Strategija prometnog razvoja Republike Hrvatske 2014.-2030.	Nadležno tijelo je Ministarstvo pomorstva, prometa i infrastrukture.	http://www.mppi.hr/default.aspx?id=16279
Program ruralnog razvoja Republike Hrvatske 2014.-2020.	Nadležno tijelo je Ministarstvo poljoprivrede.	http://www.mps.hr/ipard/default.aspx?id=293
Višegodišnji program gradnje regulacijskih i zaštitnih vodnih građevina i građevina za melioraciju 2013.-2017.	Nadležno tijelo je Ministarstvo poljoprivrede.	http://www.mps.hr/default.aspx?id=14151
Višegodišnji program gradnje komunalnih vodnih građevina 2013.-2023.	Nadležno tijelo je Ministarstvo poljoprivrede.	http://www.mps.hr/default.aspx?id=14151
Plan korištenja obnovljivih izvora energije na području Dubrovačko-neretvanske županije	Nadležno tijelo je Dubrovačko-neretvanska županija.	http://www.edubrovnik.org/upravni-odjel-za-zastitu-okolisa-i-prirode/prva-objava/
II. Ciljane Izmjene i dopune Prostornog plana Dubrovačko-neretvanske županije	Nadležno tijelo je Dubrovačko-neretvanska županija.	http://www.edubrovnik.org/upravni-odjel-za-zastitu-okolisa-i-prirode/prva-objava/
Nacionalni plan ribarstva Republike Hrvatske i Operativni program „Ribarstvo“ 2007.-2013.	Nadležno tijelo je Ministarstvo poljoprivrede.	http://www.mps.hr/ribarstvo/default.aspx?ID=496
IV. Izmjene i dopune Prostornog plana Vukovarsko-srijemske županije	Nadležno tijelo je Vukovarsko-srijemska županija.	http://www.vusz.hr/info/upravni-odjel-za-prostorno-uredenje-gradnju-i-zastitu-okolisa-1
Prostorni plan Primorsko-goranske županije	Nadležno tijelo je Primorsko-goranska županija.	http://www.pgz.hr/Zupanijski_ustroj/Upravna_tijela/Upravni_odjel_za_graditeljstvo_i_zastitu_okolisa/Strateska_procjena_utjecaja_prostornog_plana_PGZ_na_okolis
Plan upravljanja vodnim područjima Republike Hrvatske 2013.-2015.	Nadležno tijelo je Ministarstvo poljoprivrede.	http://www.mps.hr/default.aspx?id=14150
Izmjene i dopune Prostornog plana Istarske županije	Nadležno tijelo je Istarska županija.	http://www.istra-istria.hr/index.php?id=2930
Operativni program „Promet“ 2007.-2013.	Nadležno tijelo je Ministarstvo pomorstva, prometa i infrastrukture.	http://www.mppi.hr/default.aspx?id=10347
Operativni program „Regionalna konkurentnost“ 2007.-2013.	Nadležno tijelo je Ministarstva regionalnoga razvoja i fondova Europske unije.	http://www.mrrfeu.hr/
Plan gospodarenja otpadom u Gradu Zagrebu do 2015.	Nadležno tijelo je Grad Zagreb.	http://www.eko.zagreb.hr/default.aspx?id=236
